Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Dasatinib Down,23/246,7.76E-15,8.38E-11,0,0,9.933353951,322.7276937,IL32;RAB3B;EDN1;TAGLN;TGFB2;ANXA3;BDNF;SERPINE1;IL18;KRT7;KRT34;VEGFC;ARHGAP29;ADRB2;SERPINB7;FSTL1;EGFR;RGS4;GLIPR1;PLAU;PDGFC;SFN;CPA4
WH-4-025 Down,20/243,5.11E-12,2.76E-08,0,0,8.511907353,221.3119104,SRGN;EDN1;TAGLN;ANXA3;BDNF;SERPINE1;VEGFC;ARHGAP29;ADRB2;SERPINB7;MSLN;FSTL1;RGS4;IL1RL1;NUAK1;GLIPR1;NAV3;PDGFC;AOX1;TOX
Itdac-1 Down,19/242,4.04E-11,1.45E-07,0,0,8.047247677,192.5878153,IL32;TAGLN;POSTN;BIK;SERPINE1;ACSL5;MSLN;MMP9;TTN;GLIPR1;PCLO;CALB1;MLPH;FAP;PLAU;SLCO1B3;PLXNA2;SOX9;TGM2
Quinoline Up,19/249,6.62E-11,1.79E-07,0,0,7.799537912,182.8130347,GABRP;MME;ANXA3;BIK;WWC1;KRT7;ARHGAP29;MSLN;EGFR;RGS4;SULT1C2;BASP1;PLAU;PDGFC;ARHGDIB;SUSD4;SCG5;NUPR1;TOX
Ibuprofen Down,18/246,4.24E-10,7.62E-07,0,0,7.418775304,160.1100241,IL32;SRGN;CDA;KRT81;ANXA3;CYP4F3;IL18;DYSF;ARHGAP29;MSLN;MMP9;TTN;SULT1C2;MLPH;SPP1;SOX9;NUPR1;TGM2
Aminolevulinic-Acid Down,18/246,4.24E-10,7.62E-07,0,0,7.418775304,160.1100241,EDN1;TAGLN;POSTN;SPINK1;DYSF;ACSL5;KRT7;ARHGAP29;FSTL1;MMP9;FAP;BASP1;HSD17B2;ARHGDIB;SCG5;EPS8L2;TOX;RIN2
Ingenol-Mebutate Up,18/249,5.16E-10,7.95E-07,0,0,7.321303696,156.569888,IL32;SRGN;CSF2;ANXA3;MMP3;VEGFC;NMNAT2;MSLN;MMP9;EGFR;GLIPR1;FAP;NAV3;PLAU;SCG5;SOX9;RIN2;TGM2
Vindesine Up,17/245,2.96E-09,2.55E-06,0,0,6.973096617,136.9456478,CDA;POSTN;ANXA3;GDF15;BIK;WWC1;IL18;KRT7;ARHGAP29;GLIPR1;NAV3;BASP1;PDGFC;SLAMF7;SFN;RIN2;TGM2
Flubendazole Up,17/246,3.14E-09,2.55E-06,0,0,6.942291218,135.9126234,RAB3B;CDA;GABRP;KRT81;POSTN;ANXA3;GDF15;BIK;BDNF;WWC1;KRT7;FSTL1;GLIPR1;BASP1;SFN;SOX9;TGM2
Fostamatinib Down,17/246,3.14E-09,2.55E-06,0,0,6.942291218,135.9126234,RAB3B;ANXA3;BDNF;SERPINE1;IL18;VEGFC;ARHGAP29;ADRB2;SERPINB7;FSTL1;EGFR;RGS4;GLIPR1;PLAU;FLNC;TGM2;CPA4
Nitrofural Up,17/247,3.34E-09,2.55E-06,0,0,6.911753693,134.8907031,IL32;SRGN;GABRP;SPINK1;ANXA3;GDF15;BIK;CYP4F3;MMP3;LPAR1;ANXA10;MSLN;MMP9;SCG5;SOX9;NUPR1;TOX
SA-247615 Up,17/248,3.55E-09,2.55E-06,0,0,6.881480561,133.879725,ANXA3;GDF15;WWC1;KRT7;ARHGAP29;FSTL1;MLPH;BASP1;PLAU;PDGFC;ARHGDIB;SFN;EPS8L2;SOX9;LCP1;RIN2;TSPAN1
ZM-336372 Up,17/249,3.78E-09,2.55E-06,0,0,6.851468405,132.8795302,CDA;POSTN;ANXA3;BIK;KRT7;VEGFC;ARHGAP29;ANXA10;SPINT2;LOXL1;RGS4;GRB14;PLAU;ARHGDIB;SOX9;TSPAN1;TGM2
Ibrutinib Down,17/249,3.78E-09,2.55E-06,0,0,6.851468405,132.8795302,SRGN;KRT81;ANXA3;GDF15;BIK;BDNF;SERPINE1;VEGFC;ARHGAP29;ANXA10;RGS4;GLIPR1;BASP1;PLAU;PDGFC;SCG5;SOX9
PF-06260933 Down,17/249,3.78E-09,2.55E-06,0,0,6.851468405,132.8795302,KRT81;TAGLN;POSTN;TGFB2;GABRA5;KRT7;SERPINB7;MMP9;GLIPR1;PLAU;PDGFC;SPP1;SFN;SOX9;RIN2;TGM2;LTF
Saracatinib Down,17/249,3.78E-09,2.55E-06,0,0,6.851468405,132.8795302,CDA;EDN1;TAGLN;TGFB2;ANXA3;SERPINE1;IL18;KRT7;ANXA10;ADRB2;FSTL1;EGFR;GLIPR1;PLAU;SCG5;PLXNA2;TGM2
KU-C104493 Up,16/244,1.95E-08,8.48E-06,0,0,6.53166249,115.9584747,POSTN;MME;ANXA3;GDF15;SERPINE1;KRT7;VEGFC;ARHGAP29;SPINT2;MSLN;FSTL1;RGS4;AOX1;SOX9;NUPR1;TOX
