Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Dasatinib Down,59/246,1.75E-41,1.89E-37,0,0,14.17878373,1330.666981,BCAR3;SERPINE1;WWC2;LAMC2;RND3;ELK3;LOXL2;MT2A;PLAU;PPP1R13L;DSE;EPHB2;KLF10;EDN1;SERPINB2;TPM4;TPM2;TPM1;RRAS2;SERPINB7;DKK1;DKK3;EREG;ADAM19;LOX;ITGA5;MYL9;VCL;MT1E;EPHA2;HBEGF;SDC4;AMIGO2;LTBP2;THBS1;EGFR;FSTL3;PDGFC;SPOCK1;FLNB;CPA4;JUN;TGFB2;ZNF185;SMURF2;LAMB3;BDNF;PLK2;CRIM1;MICAL2;VEGFC;G0S2;FOSL1;DRAP1;KLF7;COL5A1;AXL;DLC1;ZYX
Ingenol-Mebutate Up,57/249,6.94E-39,3.77E-35,0,0,13.27622251,1166.489841,ITGB1;NRP1;LAMC2;CXCL1;CXCL3;CXCL2;ELK3;LOXL2;PLAU;ZC3H12A;QSOX1;SOX9;TGM2;SERPINB2;IL4R;ITGA2;AMPD3;DKK1;EREG;ADAM19;GREM1;IL1A;IL1B;PXDN;COL6A1;SCG5;COL6A3;ITGA5;RIN2;STX1A;EPHA2;HBEGF;SDC4;CAB39;AMIGO2;LAMA3;STC1;EGFR;RELB;FGD6;CCL2;MAP4K4;LAMB3;TFPI2;MICAL2;G0S2;VEGFC;ISG15;NMNAT2;FOSL1;NFKBIA;IL6;TMEM158;CLEC2B;TNIP1;COL7A1;NFE2L3
CYT-997 Up,54/248,1.19E-35,4.29E-32,0,0,12.36068255,994.0387625,LAMC2;RND3;CXCL2;ELK3;LOXL2;MT2A;PLAU;PPP1R13L;ANPEP;ARHGDIB;SOX9;IL4R;TPM4;TPM1;DKK1;EREG;ADAM19;COL4A5;ITGA5;RIN2;VCL;MT1E;EPHA2;HBEGF;KRT81;NNMT;SDC4;CAB39;SRF;AMIGO2;THBS1;EGFR;RELB;FSTL3;PODXL;PDGFC;CCL2;FLNB;KCNN4;JUN;TGFB2;PPP1R14B;SMURF2;BDNF;PLK2;MICAL2;VEGFC;FOSL1;EXT1;TMEM158;KRT18;AXL;DLC1;ZYX
Saracatinib Down,52/249,2.16E-33,5.87E-30,0,0,11.66615944,877.4593511,SERPINE1;PLOD2;LAMC2;FGF2;LOXL2;PLAU;PPP1R13L;DSE;EPHB2;TGM2;KLF10;ABCC3;EDN1;SERPINB2;TPM2;IGFBP3;TPM1;RRAS2;SERPINB9;DKK1;EREG;ADAM19;LOX;SCG5;COL4A6;ITGA5;MYL9;STX1A;VCL;EPHA2;HBEGF;AMIGO2;THBS1;EGFR;FSTL3;SPOCK1;FLNB;JUN;TGFB2;SMURF2;LAMB3;PLK2;MICAL2;ELL2;FOSL1;KRT18;COL5A1;AXL;DLC1;ID1;COL5A2;FBN1
LCL-161 Up,51/248,2.04E-32,4.43E-29,0,0,11.41568737,832.9954249,BCAR3;CSF1;ITGB4;CXCL1;CXCL3;CXCL2;IFI44L;LOXL2;PLAU;ANPEP;SOX9;UBE2E3;TAP1;TGFBR2;OAS2;IL1B;SCG5;COL4A6;PPARG;RIN2;MT1E;HBEGF;SDC4;SAMD9;AMIGO2;THBS1;RELB;PDZD2;PDGFC;CCL2;IGFBP6;GABRE;GBP1;TGFB2;ZNF185;LAMB3;MX1;IFI44;MICAL2;G0S2;VEGFC;ISG15;TBX3;PSMB9;NFKBIA;IL6;KRT18;ID1;NFE2L3;XAF1;FBN1
HG-9-91-01 Down,51/249,2.51E-32,4.54E-29,0,0,11.35744431,826.3915737,BCAR3;SERPINE1;RND3;MYLK;ELK3;LOXL2;ESM1;MECOM;PLAU;EDIL3;TGM2;EDN1;IGFBP3;TPM1;RRAS2;DKK1;DKK3;LOX;DDAH1;COL6A2;COL6A1;SCG5;COL6A3;PPARG;IL6ST;VCL;EPHA2;MT1E;COLEC12;RTN1;SDC4;AMIGO2;RELB;PDGFC;KCNN4;SLC38A2;TGFB2;FZD2;SMURF2;LAMB3;PLK2;TFPI2;MICAL2;FOSL1;TMEM158;KRT18;CLEC2B;AXL;DLC1;ID1;ITGBL1
Colchicine Up,49/247,2.10E-30,3.26E-27,0,0,10.86245409,742.2731611,ITGB4;LAMC2;CXCL1;CXCL3;RND3;ELK3;LOXL2;MT2A;PLAU;ANPEP;EFHD2;QSOX1;SERPINB2;TPM4;WNT5B;TPM1;SERPINB9;SERPINB7;DKK1;ADAM19;COL4A6;COL4A5;ITGA5;GAS6;MT1E;EPHA2;HBEGF;NNMT;CAB39;SRF;AMIGO2;LAMA3;RELB;PODXL;PDGFC;FLNB;FLNC;PPP1R14B;SMURF2;LAMB3;PLK2;MICAL2;FOSL1;DRAP1;TMEM158;KRT18;AXL;DLC1;ZYX
Maxacalcitol Up,49/248,2.56E-30,3.48E-27,0,0,10.80730927,736.3638332,NRP1;SERPINE1;PLOD2;CXCL1;CXCL2;LOXL2;THBD;PLAU;PITX1;TGM2;ABCC3;IGFBP5;IGFBP3;WNT5A;DKK1;ADAM19;GREM1;IL1A;LOX;DDAH1;IL1B;COL6A2;COL6A1;EPHA2;HBEGF;KANK2;SDC4;AMIGO2;LPAR1;STC1;THBS1;FGD6;PDGFC;SERPINH1;IGFBP6;ZNF185;FOXF1;SMAGP;MBOAT7;TFPI2;AKR1C3;TBX3;COL1A1;IL6;COL1A2;KRT18;AXL;DLC1;ID1
Birinapant Up,48/247,2.28E-29,2.72E-26,0,0,10.5627457,696.6439684,SDC4;CSF1;CXCL1;LAMC2;CXCL3;CXCL2;THBS1;IFI44L;RELB;PLAU;ANPEP;ZC3H12A;PDGFC;DSE;EFHD2;CYP1B1;CCL2;SOX9;GBP1;TGM2;IL4R;VCAM1;LAMB3;TNFRSF9;TFPI2;RHBDF2;MX1;MICAL2;IFI44;VEGFC;TAP1;ISG15;PSMB9;FOSL1;NFKBIA;IL1A;IL6;TMEM158;TNIP1;AXL;OAS2;IL1B;IRF1;BCL3;NFE2L3;XAF1;RIN2;CFB
Ingenol Up,48/248,2.76E-29,2.72E-26,0,0,10.50938776,691.0959032,SDC4;AMIGO2;STC1;CXCL1;LAMC2;CXCL3;CXCL2;THBS1;ELK3;RELB;PLAU;ZC3H12A;EFHD2;CCL2;QSOX1;SOX9;MAP4K4;KLF10;IL4R;VCAM1;SMURF2;LAMB3;UBE2E3;ITGA2;TFPI2;MICAL2;G0S2;VEGFC;AMPD3;DKK1;EREG;FOSL1;ADAM19;NFKBIA;GREM1;IL1A;IL6;TMEM158;CLEC2B;TNIP1;IL1B;SCG5;COL4A5;COL6A3;ITGA5;STX1A;EPHA2;HBEGF
