Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Dasatinib Down,41/246,3.20E-36,3.46E-32,0,0,21.389071,1748.15919,AMIGO2;EGFR;LOXL2;EFNB2;MT2A;GLIPR1;PLAU;PDGFC;DSE;SPOCK1;SFN;FLNB;CPA4;JUN;ANXA1;ZNF185;TNFRSF12A;S100A2;LAMB3;BDNF;CAV1;TPM1;DIO2;CRIM1;KRT7;MICAL2;PAWR;VEGFC;ARHGAP29;INHBA;SERPINB7;DKK1;F3;FOSL1;GPRC5A;COL5A1;AXL;NMT2;F2RL1;PTX3;MT1E
Vinblastine Up,35/242,9.52E-29,5.16E-25,0,0,17.5067096,1129.55138,KRT81;LOXL2;FAM171A1;MT2A;GLIPR1;PLAU;PODXL;PDGFC;SFN;FLNB;SOX9;JUN;ANXA1;ZNF185;TNFRSF12A;S100A2;LAMB3;ITGA3;CAV1;TPM1;PLAUR;MICAL2;DKK1;F3;FOSL1;TBC1D2;GPRC5A;KRT18;SLPI;AXL;F2RL1;PTX3;GAS6;IL7R;MT1E
CYT-997 Up,35/248,2.27E-28,8.19E-25,0,0,17.0083464,1082.65003,KRT81;AMIGO2;EGFR;LOXL2;MT2A;GLIPR1;PLAU;PODXL;PDGFC;FLNB;SOX9;KCNN4;CARD10;JUN;IL4R;TNFRSF12A;S100A2;BDNF;ITGA3;CAV1;TPM1;PLAUR;KRT7;MICAL2;VEGFC;DKK1;F3;FOSL1;GPRC5A;KRT18;AXL;F2RL1;PTX3;TLR4;MT1E
Fostamatinib Down,34/246,2.90E-27,7.86E-24,0,0,16.5138034,1009.06956,AMIGO2;EGFR;PLAC8;EFNB2;GLIPR1;PLAU;FLNC;CPA4;IL11;CARD10;JUN;ANXA1;TNFRSF12A;S100A2;SMAGP;BDNF;CAV1;TPM1;PLAUR;MICAL2;VEGFC;ARHGAP29;INHBA;SERPINB7;DKK1;F3;FOSL1;GPRC5A;KRT18;AXL;F2RL1;PTX3;IL7R;FJX1
Ibrutinib Down,34/249,4.39E-27,9.52E-24,0,0,16.2808813,988.092063,KRT81;AMIGO2;LOXL2;MT2A;GLIPR1;PLAU;BASP1;PDGFC;DSE;SPOCK1;SOX9;CARD10;JUN;ANXA1;TNFRSF12A;S100A2;LAMB3;SMAGP;BDNF;TPBG;PLAUR;MICAL2;VEGFC;ARHGAP29;INHBA;DKK1;F3;FOSL1;GPRC5A;F2RL1;TLR4;FJX1;STX1A;MT1E
SA-247615 Up,33/248,6.21E-26,1.10E-22,0,0,15.7192987,912.353408,LAMA5;AMIGO2;TNFAIP2;LOXL2;PLAU;BASP1;PDGFC;SPOCK1;SFN;FLNB;SOX9;ABCC3;ANXA1;ZNF185;S100A2;LAMB3;ITGA3;CAV1;KRT8;KRT7;MICAL2;ARHGAP29;INHBA;DKK1;F3;FOSL1;GPRC5A;KRT18;AXL;PXDN;SCNN1A;IL7R;TLR4
Saracatinib Down,33/249,7.10E-26,1.10E-22,0,0,15.6457243,906.005798,AMIGO2;EGFR;LOXL2;EFNB2;CNN1;GLIPR1;PLAU;PLAGL1;DSE;SPOCK1;FLNB;ABCC3;IL11;JUN;TNFRSF12A;LAMB3;STAC;TPM1;PLAUR;KRT7;MICAL2;PAWR;INHBA;DKK1;F3;FOSL1;BMP2;GPRC5A;KRT18;COL5A1;AXL;ID1;STX1A
Canertinib Down,32/248,9.70E-25,1.31E-21,0,0,15.0925926,834.507287,NRP1;AMIGO2;EFNB2;PLAGL1;PDGFC;SOX9;TLE4;IL11;S100A2;BDNF;ITGA3;CAV1;CRIM1;PLAUR;KRT7;MICAL2;VEGFC;ARHGAP29;INHBA;SERPINB7;DKK1;F3;FOSL1;GPRC5A;KRT18;AXL;PXDN;NMT2;F2RL1;FJX1;STX1A;MT1E
VU-0365118-1 Up,32/250,1.25E-24,1.51E-21,0,0,14.9525994,822.944264,KRT81;AMIGO2;PLAC8;FAM171A1;GLIPR1;PLAU;ANKRD1;SPOCK1;SFN;IGFBP6;CARD10;GALNT6;ANXA1;S100A2;SMAGP;ATP8B1;ITGA3;CAV1;CRIM1;PLAUR;KRT7;ARHGAP29;DKK1;F3;FOSL1;FERMT1;BMP2;GPRC5A;AXL;ID1;F2RL1;TLR4
ABT-751 Up,31/242,6.85E-24,7.42E-21,0,0,14.8936719,794.40223,KRT81;IRS1;CNN1;MT2A;GLIPR1;PODXL;SPOCK1;SFN;FLNB;SOX9;FLNC;CARD10;JUN;ANXA1;IL4R;ZNF185;TNFRSF12A;S100A2;LAMB3;ITGA3;CAV1;TPM1;PLAUR;MICAL2;DKK1;F3;FOSL1;GPRC5A;SLPI;AXL;MT1E
ZM-336372 Up,31/249,1.65E-23,1.49E-20,0,0,14.4102771,755.987198,TOR4A;NRP1;AMIGO2;PLAU;SOX9;KCNN4;ABCC3;JUN;IL4R;TNFRSF12A;S100A2;LAMB3;SMAGP;ITGA3;CAV1;ITGA2;PLAUR;KRT7;VEGFC;ARHGAP29;INHBA;DKK1;F3;FOSL1;FERMT1;GPRC5A;KRT18;AXL;F2RL1;FJX1;STX1A
Macelignan Up,31/249,1.65E-23,1.49E-20,0,0,14.4102771,755.987198,KRT81;IRS1;TNFAIP2;PLAU;BASP1;SPOCK1;SFN;SOX9;CARD10;GALNT6;TNFRSF12A;S100A2;LAMB3;SMAGP;ITGA3;KRT8;AKR1C3;PLAUR;KRT7;MICAL2;INHBA;DKK1;FOSL1;GPRC5A;KRT18;SLPI;AXL;IL1B;F2RL1;PTX3;STX1A
Tivantinib Up,30/240,7.92E-23,6.60E-20,0,0,14.4079529,733.226184,KRT81;AMIGO2;LOXL2;PLAC8;MT2A;GLIPR1;PODXL;PDGFC;SOX9;KCNN4;JUN;ANXA1;TNFRSF12A;S100A2;ITGA3;CAV1;TPM1;PLAUR;MICAL2;DKK1;FOSL1;TBC1D2;GPRC5A;KRT18;SLPI;AXL;ID1;PTX3;FJX1;MT1E
Vindesine Up,30/245,1.46E-22,1.05E-19,0,0,14.0692879,707.390998,TOR4A;AMIGO2;PLAC8;MT2A;GLIPR1;BASP1;PDGFC;SFN;KCNN4;JUN;ANXA1;TNFRSF12A;ITGA3;TPM1;PLAUR;KRT7;MICAL2;ARHGAP29;LDOC1;DKK1;F3;FOSL1;GPRC5A;KRT18;SLPI;AXL;ID1;IL7R;TLR4;MT1E
Lapatinib Down,30/245,1.46E-22,1.05E-19,0,0,14.0692879,707.390998,KRT81;AMIGO2;SLC2A1;LOXL2;EFNB2;MT2A;GLIPR1;PLAU;SLIT2;TNFRSF12A;S100A2;LAMB3;ITGA3;CAV1;TPBG;KRT7;MICAL2;SERPINB7;F3;FOSL1;BMP2;KRT18;SLPI;AXL;IL1B;ID1;F2RL1;GAS6;STX1A;MT1E
WH-4025 Down,30/247,1.86E-22,1.26E-19,0,0,13.9381918,697.447356,AMIGO2;SLC2A1;PRSS23;EGFR;EFNB2;PLAU;STC2;SOX9;JUN;ANXA1;TNFRSF12A;S100A2;LAMB3;CAV1;TPM1;CRIM1;PLAUR;MICAL2;PAWR;NRG1;INHBA;DKK1;F3;FOSL1;BMP2;GPRC5A;PSG5;F2RL1;PTX3;STX1A
Vinorelbine Up,30/248,2.09E-22,1.33E-19,0,0,13.8735458,692.555851,KRT81;LOXL2;MT2A;GLIPR1;PLAU;BASP1;PODXL;SFN;SOX9;JUN;ANXA1;TNFRSF12A;S100A2;LAMB3;ITGA3;CAV1;TPM1;DIO2;PLAUR;KRT7;MICAL2;INHBA;DKK1;F3;FOSL1;GPRC5A;SLPI;AXL;IL7R;MT1E
Ingenol-Mebutate Up,30/249,2.36E-22,1.42E-19,0,0,13.8094902,687.71682,NRP1;AMIGO2;EGFR;LOXL2;GLIPR1;PLAU;SOX9;IL11;ANXA1;IL4R;TNFRSF12A;S100A2;LAMB3;ITGA3;ITGA2;PLAUR;MICAL2;VEGFC;NMNAT2;INHBA;DKK1;F3;FOSL1;BMP2;GPRC5A;SLPI;IL1B;PXDN;F2RL1;STX1A
WH-4-025 Down,29/243,1.61E-21,9.21E-19,0,0,13.5944884,650.835595,AMIGO2;LOXL2;MT2A;NUAK1;GLIPR1;STC2;PDGFC;SPOCK1;JUN;ANXA1;BDNF;TPM1;CRIM1;MICAL2;PAWR;VEGFC;ARHGAP29;INHBA;SERPINB7;DKK1;F3;KRT18;AXL;F2RL1;CDH13;PTX3;GAS6;TOX;MT1E
ON-01910 Up,29/244,1.82E-21,9.84E-19,0,0,13.5305665,646.192587,NRP1;KRT81;AMIGO2;MT2A;GLIPR1;PODXL;PDGFC;SPOCK1;FLNB;SOX9;KCNN4;SLC14A1;JUN;ANXA1;TNFRSF12A;LAMB3;SMAGP;CAV1;TPM1;PLAUR;MICAL2;DKK1;F3;FOSL1;GPRC5A;F2RL1;IL7R;STX1A;MT1E
Disulfiram Up,29/245,2.04E-21,1.05E-18,0,0,13.4672365,641.600148,CITED2;LOXL2;MT2A;PLAU;BASP1;SFN;SLIT2;KCNN4;IL11;TNFRSF12A;S100A2;LAMB3;ITGA3;CAV1;PLAUR;KRT7;PAWR;VEGFC;INHBA;SERPINB7;DKK1;FOSL1;GPRC5A;SLPI;AXL;ID1;PTX3;IL7R;MT1E
Afatinib Down,29/246,2.29E-21,1.08E-18,0,0,13.4044901,637.057514,NRP1;IRS1;AMIGO2;PRSS23;EFNB2;BASP1;PDGFC;FLNB;SOX9;SLC14A1;ZNF185;S100A2;ITGA3;CAV1;CRIM1;PLAUR;KRT7;ARHGAP29;INHBA;SERPINB7;DKK1;F3;FERMT1;BMP2;GPRC5A;SLPI;IL1B;F2RL1;STX1A
