Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Flubendazole Up,25/246,5.17E-14,2.80E-10,0,0,8.012751954,245.1319136,RAB3B;CDA;KRT81;WWC1;AREG;FSTL1;CXCL14;GLIPR1;ALCAM;TRIM29;BASP1;SFN;SOX9;SH3GL2;POSTN;ANXA3;GDF15;BDNF;CAV1;P3H2;DIO2;KRT7;NAV2;F3;IL7R
Dasatinib Down,25/246,5.17E-14,2.80E-10,0,0,8.012751954,245.1319136,RAB3B;SERPINE1;AREG;FSTL1;RGS4;GLIPR1;ALCAM;PLAU;SFN;CPA4;IL32;EDN1;TGFB2;ANXA3;BDNF;CAV1;P3H2;IL18;DIO2;KRT7;KRT34;ARHGAP29;SERPINB7;F3;HBEGF
Butylscopolammonium Up,21/245,1.46E-10,3.29E-07,0,0,6.544354839,148.2142893,CPA3;SPINK1;CITED2;CAV1;LPAR1;ARHGAP29;FSTL1;CXCL14;LOXL1;RGS4;IL6;ALCAM;EVI2A;FAP;BASP1;PLAU;EPB41L3;SLAMF7;IL7R;ITM2A;LTF
Ingenol Up,21/248,1.83E-10,3.29E-07,0,0,6.456870826,144.7726491,IL32;IL24;KRT7;TNFAIP3;AREG;F3;RGS4;GLIPR1;IL6;ALCAM;EVI2A;FAP;NAV3;PLAU;IL1B;SCG5;SFN;SOX9;IL7R;KCNK1;HBEGF
PSH-008 Up,21/248,1.83E-10,3.29E-07,0,0,6.456870826,144.7726491,CPA3;CDA;ANXA3;MMP3;LPAR1;IL18;PRR5L;NAV2;AREG;F3;FSTL1;CXCL14;FOSL2;GLIPR1;ALCAM;EVI2A;BASP1;STC2;SCG5;IL7R;LTF
Ibrutinib Down,21/249,1.97E-10,3.29E-07,0,0,6.42822109,143.6504665,SRGN;KRT81;ANXA3;GDF15;BDNF;SERPINE1;ARHGAP29;TNFAIP3;ANXA10;AREG;F3;RGS4;GLIPR1;ALCAM;PLAU;BASP1;RAC2;SCG5;SOX9;KCNK1;HBEGF
VU-0365118-1 Up,21/250,2.12E-10,3.29E-07,0,0,6.399821571,142.5404922,SRGN;KRT81;TGFB2;ANXA3;CAV1;P3H2;IL18;KRT7;ARHGAP29;NAV2;AREG;F3;FSTL1;CXCL14;GLIPR1;ALCAM;PLAU;ARHGDIB;ANKRD1;SFN;HBEGF
Cercosporin Up,20/241,7.17E-10,9.70E-07,0,0,6.295733678,132.5668267,GDF15;SERPINE1;MMP3;TNFAIP3;SPINT2;DUSP8;AREG;F3;CXCL14;FOSL2;THBD;IL6;TRIM29;PLAU;STC2;SFN;SOX9;NUPR1;IL7R;HBEGF
Vinorelbine Up,20/248,1.18E-09,1.25E-06,0,0,6.100250627,125.3892289,CDA;KRT81;ANXA3;WWC1;CAV1;SERPINE1;DIO2;KRT7;NAV2;AREG;F3;FSTL1;GLIPR1;ALCAM;BASP1;PLAU;SFN;SOX9;IL7R;KCNK1
Maxacalcitol Up,20/248,1.18E-09,1.25E-06,0,0,6.100250627,125.3892289,ANXA3;KCNE4;SERPINE1;P3H2;LPAR1;AREG;F3;FSTL1;CXCL14;MAPK13;RGS4;THBD;IL6;NAV3;BASP1;PLAU;IL1B;RAC2;IL7R;HBEGF
Ingenol-Mebutate Up,20/249,1.27E-09,1.25E-06,0,0,6.073300062,124.4085635,IL32;SRGN;MYO10;ANXA3;IL24;MMP3;LY96;TNFAIP3;AREG;F3;GLIPR1;IL6;ALCAM;FAP;NAV3;PLAU;IL1B;SCG5;SOX9;HBEGF
Narciclasine Up,19/237,3.43E-09,3.05E-06,0,0,6.04260668,117.7784439,CPA3;EDN1;TGFB2;ANXA3;P3H2;KRT7;ARHGAP29;TNFAIP3;DUSP8;AREG;F3;FOSL2;CDH6;IL6;SNAPC1;PLAU;IL1B;SOX9;HBEGF
Oligomycin-A Up,19/238,3.68E-09,3.05E-06,0,0,6.014706121,116.8152437,POSTN;SPINK1;MME;MYO10;GDF15;BDNF;SERPINE1;LY96;NAV2;AREG;F3;RGS4;THBD;ALCAM;CALB1;GRB14;STC2;SCG5;HBEGF
646 0226 7557 Down,19/239,3.94E-09,3.05E-06,0,0,5.987059204,115.8630159,IL32;CA12;SPINK1;CITED2;ANXA3;CAV1;MMP3;P3H2;ARHGAP29;SERPINB7;AREG;FSTL1;PCLO;STC2;HSD17B2;SCG5;LCP1;IL7R;HBEGF
KU-C104493 Up,19/244,5.54E-09,3.49E-06,0,0,5.852510874,111.2606922,POSTN;MME;ANXA3;GDF15;SERPINE1;KRT7;LY96;ARHGAP29;SPINT2;AREG;F3;FSTL1;FOSL2;RGS4;IL6;STC2;AOX1;SOX9;NUPR1
Vindesine Up,19/245,5.93E-09,3.49E-06,0,0,5.826315624,110.3708808,CDA;POSTN;ANXA3;GDF15;WWC1;P3H2;IL18;KRT7;ARHGAP29;NAV2;F3;GLIPR1;ALCAM;NAV3;BASP1;TFEC;SLAMF7;SFN;IL7R
Desmethylclozapine Down,19/245,5.93E-09,3.49E-06,0,0,5.826315624,110.3708808,SRGN;TGFB2;SERPINE1;C5AR1;KRT7;TNFAIP3;ANXA10;AREG;FOSL2;PTPRD;THBD;GLIPR1;EVI2A;SNAPC1;BASP1;PLAU;ARHGDIB;SCG5;HBEGF
Pyocyanin Up,19/246,6.34E-09,3.49E-06,0,0,5.800351169,109.4909312,CITED2;ANXA3;CAV1;SERPINE1;TNFAIP3;NAV2;SERPINB7;CXCL14;FOSL2;RGS4;EVI2A;FAP;NAV3;PLAU;SCG5;SOX9;LCP1;ITM2A;HBEGF
Fostamatinib Down,19/246,6.34E-09,3.49E-06,0,0,5.800351169,109.4909312,RAB3B;ANXA3;BDNF;CAV1;SERPINE1;IL18;ARHGAP29;TNFAIP3;SERPINB7;AREG;F3;FSTL1;RGS4;GLIPR1;ALCAM;PLAU;IL7R;HBEGF;CPA4
Tetramethylsilane Down,19/247,6.77E-09,3.49E-06,0,0,5.774614472,108.6206968,IL32;SPINK1;P3H2;KRT7;TNFAIP3;NR0B1;NRG1;CXCL14;GLIPR1;IL6;EVI2A;PLAU;BASP1;ARHGDIB;PKP2;SOX9;IL7R;ITM2A;HBEGF
Tobramycin Down,19/247,6.77E-09,3.49E-06,0,0,5.774614472,108.6206968,CPA3;SRGN;SPINK1;IL18;KRT7;SPINT2;FSTL1;CXCL14;DCLK1;THBD;EVI2A;GRB14;TRIM29;EPB41L3;TFEC;ARHGDIB;CDH11;SCG5;THSD7A
Cabozantinib Down,19/249,7.73E-09,3.81E-06,0,0,5.723812471,106.9088005,ANXA3;SERPINE1;C5AR1;P3H2;KRT7;TNFAIP3;SERPINB7;AREG;F3;FOSL2;RGS4;GLIPR1;ALCAM;SNAPC1;BASP1;IL1B;SCG5;SFN;HBEGF
AG-1024 Up,18/240,2.52E-08,1.17E-05,0,0,5.600345026,97.97780274,ANXA3;GDF15;SERPINE1;KRT7;LY96;FSTL1;RGS4;GLIPR1;IL6;ALCAM;PLAU;STC2;IL1B;SOX9;NUPR1;ITM2A;HBEGF;LTF
Vinblastine Up,18/242,2.87E-08,1.17E-05,0,0,5.549772036,96.3827744,CDA;KRT81;ANXA3;WWC1;CAV1;AREG;F3;FSTL1;GLIPR1;TBC1D2;ALCAM;PLAU;SLAMF7;SFN;SOX9;IL7R;KCNK1;HBEGF
WH-4-025 Down,18/243,3.06E-08,1.17E-05,0,0,5.524822695,95.59869571,SRGN;EDN1;ANXA3;BDNF;SERPINE1;P3H2;ARHGAP29;SERPINB7;F3;FSTL1;RGS4;GLIPR1;IL6;ALCAM;SNAPC1;NAV3;STC2;AOX1
